stop_id,stop_code,stop_name,stop_lat,stop_lon
265,"s402","PPC Tezno - črpalka","46.524584","15.667554"
266,"s405","PPC Tezno - črpalka","46.524641","15.667625"
269,"s403","PPC Tezno - NKBM","46.521965","15.670191"
270,"s404","PPC Tezno - NKBM","46.521951","15.669840"
273,"s235","Prol. brigad - Ferkova","46.541641","15.640899"
274,"s179","Prol. brigad - Kardeljeva","46.542598","15.634665"
275,"s178","Prol. brigad - Kardeljeva","46.543219","15.632911"
276,"s180","Prol. brigad - lekarna","46.543982","15.629472"
277,"s181","Prol. brigad - lekarna","46.544323","15.628793"
278,"s196","Prol. brigad - Ljubljan.","46.541427","15.639756"
279,"s197","Prol. brigad - Ljubljan.","46.540904","15.641137"
280,"s110","Prol. brigad - rondo","46.545432","15.620348"
281,"s244","Prol. brigad - Tržaška","46.539799","15.646367"
282,"s165","Prol. brigad - vojašnica","46.544819","15.624193"
283,"s166","Prol. brigad - vojašnica","46.544607","15.625679"
284,"s324","Ptujska - Špelina","46.533582","15.664617"
285,"s333","Ptujska - Špelina","46.533447","15.665435"
286,"s322","Ptujska - hitra cesta","46.538628","15.654733"
287,"s335","Ptujska - hitra cesta","46.539627","15.654032"
288,"s323","Ptujska - Kovinar","46.536100","15.659813"
289,"s334","Ptujska - Kovinar","46.536927","15.658624"
290,"s325","Ptujska - pošta","46.532011","15.667669"
291,"s332","Ptujska - pošta","46.531681","15.668748"
292,"s326","Ptujska - TAM","46.528505","15.672507"
293,"s331","Ptujska - TAM","46.529611","15.671695"
294,"s321","Ptujska - Tržaška","46.539701","15.648591"
295,"s169","Radvanjska - Antoličičeva","46.537936","15.626869"
296,"s170","Radvanjska - Antoličičeva","46.538366","15.627125"
297,"s167","Radvanjska - Borštnikova","46.535775","15.625033"
298,"s168","Radvanjska - Borštnikova","46.536279","15.625321"
299,"s171","Radvanjska - trgovina","46.542801","15.631095"
300,"s172","Radvanjska - trgovina","46.541651","15.629961"
301,"s205","Radvanjska - vojašnica","46.545895","15.634183"
302,"s206","Radvanjska - vojašnica","46.546526","15.635159"
303,"s39","Razlagova - EPF","46.562136","15.654084"
304,"s250","Razvanje","46.515413","15.635653"
305,"s249","Razvanje - GD","46.517971","15.634457"
306,"s248","Razvanje - GD","46.518901","15.634317"
307,"s247","Razvanje - vrtnarstvo","46.521622","15.635317"
308,"s547","Razvanje - vrtnarstvo","46.521791","15.635159"
312,"s56","Rošpoh","46.601692","15.621163"
313,"s55","Rošpoh - Hojnik","46.597751","15.619571"
314,"s555","Rošpoh - Hojnik","46.597776","15.619418"
315,"s54","Rošpoh - odcep Urban","46.587338","15.616655"
316,"s53","Rošpoh - odcep Urban","46.587004","15.616551"
317,"s282","Ruperče","46.560819","15.729387"
318,"s283","Ruperče","46.560761","15.729293"
322,"s408","Smetanova - Teh. fakul.","46.559391","15.640427"
326,"s157","Streliška - Ul. Poh. odr.","46.536251","15.620385"
327,"s158","Streliška - Ul. Poh. odr.","46.536224","15.620682"
